"Chennai Super Kings Battle Of Chepauk 2","Sports","Nextwave Multimedia","https://play.google.com/store/apps/dev?id=9127085344518131769","4.6","33992","1494","374","1370","3013","27741"
"Iron Throne","Strategy","Netmarble","https://play.google.com/store/apps/dev?id=5258410538530331508","4.5","16461","896","265","848","2286","12166"
"Vice Auto Theft City","Action","Tap - Free Games","https://play.google.com/store/apps/developer?id=Tap+-+Free+Games","4.1","1474","242","41","75","85","1031"
"US Police limousine Car Quad Bike Transporter Game","Simulation","Great Games Studio","https://play.google.com/store/apps/developer?id=Great+Games+Studio","4.3","1353","163","35","75","75","1005"
"Real Car Parking 2 : Driving School 2018","Simulation","Genetic Studios ™","https://play.google.com/store/apps/dev?id=8550478867825785622","4.5","37848","2788","714","1748","3373","29225"
"High School Gang","Action","Italy Games","https://play.google.com/store/apps/developer?id=Italy+Games","4.5","3426","157","60","303","415","2491"
"RC Spy Drone 2018","Simulation","Coding Squares","https://play.google.com/store/apps/dev?id=6609243090034600037","4.2","886","118","19","60","53","636"
"Will it Crush?","Simulation","VOODOO","https://play.google.com/store/apps/developer?id=VOODOO","3.0","6205","2618","220","358","313","2696"
"Disney Heroes: Battle Mode","Strategy","PerBlue Entertainment","https://play.google.com/store/apps/developer?id=PerBlue+Entertainment","4.6","16598","798","198","686","2175","12741"
"Solitaire","Card","Toolit Media","https://play.google.com/store/apps/developer?id=Toolit+Media","4.3","769","74","16","54","82","543"
"Truck Driver Simulator","Simulation","tasoandorra","https://play.google.com/store/apps/developer?id=tasoandorra","4.3","257","25","5","18","24","185"
"Flying Arrow","Arcade","VOODOO","https://play.google.com/store/apps/developer?id=VOODOO","3.7","12813","3206","464","826","1060","7257"
"Euro Train Simulator 2018","Simulation","Tap - Free Games","https://play.google.com/store/apps/developer?id=Tap+-+Free+Games","4.0","578","98","15","49","56","360"
"San Andreas Auto Theft : City Of Crime","Action","GAME TSUNAMI","https://play.google.com/store/apps/developer?id=GAME+TSUNAMI","4.3","1128","124","27","59","82","836"
"Russian Car Driver  ZIL 130","Simulation","ABGames89","https://play.google.com/store/apps/dev?id=5952057666589164114","4.5","15911","887","228","861","2152","11783"
"Car Simulator Veneno","Simulation","Oppana Games","https://play.google.com/store/apps/developer?id=Oppana+Games","4.3","4878","551","100","264","359","3604"
"Flame Hero","Simulation","Naxeex Publishing","https://play.google.com/store/apps/dev?id=5720237448240252822","4.4","1041","99","18","51","76","797"
"Train Vs Car Racing 2 Player","Racing","MTS Free Games","https://play.google.com/store/apps/developer?id=MTS+Free+Games","4.3","602","67","11","43","57","424"
"Incredible Monster VS US Army Prison Survival Game","Action","Great Games Studio","https://play.google.com/store/apps/developer?id=Great+Games+Studio","4.4","311","32","3","18","23","235"
"Coach Bus Tourist Transport Simulator","Simulation","AbsoMech","https://play.google.com/store/apps/developer?id=AbsoMech","4.2","313","43","8","22","23","217"
"Stunt Bicycle Impossible Tracks Bike Games 2","Simulation","Mekaal Studios","https://play.google.com/store/apps/developer?id=Mekaal+Studios","4.4","354","37","7","16","29","265"
"Bubble Shooter Mission","Puzzle","mobirix","https://play.google.com/store/apps/dev?id=4864673505117639552","4.4","781","26","13","109","138","495"
"Ludo Game : 2018 Ludo Star, Ludo New","Board","Cookie Crush Match 3 Blast","https://play.google.com/store/apps/developer?id=Cookie+Crush+Match+3+Blast","4.4","143","8","3","11","16","105"
"Harry Potter: Hogwarts Mystery","Adventure","Jam City, Inc.","https://play.google.com/store/apps/dev?id=5509190841173705883","4.4","811644","46913","24947","49373","127585","562826"
"Speed Car Race 3D","Racing","Zee Vision Games","https://play.google.com/store/apps/developer?id=Zee+Vision+Games","4.4","169","13","5","11","16","124"
"Missile War Launcher Mission - Rivals Drone Attack","Adventure","woodoo play games","https://play.google.com/store/apps/developer?id=woodoo+play+games","4.1","552","76","14","41","43","378"
"Capital City Building: Mega Construction Games","Simulation","Sablo Games","https://play.google.com/store/apps/developer?id=Sablo+Games","4.3","244","32","3","6","18","185"
"Bingo Bubbles","Casual","Cookie Crush Games","https://play.google.com/store/apps/dev?id=7236897623184980796","4.6","459","10","6","41","57","345"
"Wild Animals Kingdom Battle Simulator 2018","Simulation","Gamtertainment","https://play.google.com/store/apps/developer?id=Gamtertainment","4.3","317","40","4","18","24","231"
"Space Cone","Casual","CloudMacaca Inc.","https://play.google.com/store/apps/developer?id=CloudMacaca+Inc.","4.3","86","7","3","4","11","61"
"Virtual Mother New Baby Twins Family Simulator","Adventure","New Age Gamers","https://play.google.com/store/apps/developer?id=New+Age+Gamers","3.7","702","132","41","84","66","379"
"Drift Car Real Driving Simulator - Extreme Racing","Simulation","Movers Games","https://play.google.com/store/apps/developer?id=Movers+Games","4.3","250","28","8","18","10","186"
"Millionaire Wedding - Lucky Bride Dress Up","Casual","Games For Girls","https://play.google.com/store/apps/developer?id=Games+For+Girls","4.3","904","76","20","62","111","635"
"LEGO® NINJAGO®: Ride Ninja","Arcade","LEGO System A/S","https://play.google.com/store/apps/dev?id=5382307214726356149","4.5","3717","247","64","169","308","2929"
"US Prison Transport: Police Bus Driving","Simulation","Tap - Free Games","https://play.google.com/store/apps/developer?id=Tap+-+Free+Games","3.8","207","45","7","21","14","120"
"Firefighter Rescue Simulator 3D","Simulation","spiritapps","https://play.google.com/store/apps/developer?id=spiritapps","4.3","204","27","6","3","14","154"
"Makeup Game: Sery Bride","Casual","Dolly Dress up","https://play.google.com/store/apps/developer?id=Dolly+Dress+up","4.3","378","40","8","25","34","271"
"Monster Superhero Sea Survival: Prison Escape Game","Action","Tekbash","https://play.google.com/store/apps/dev?id=6680115612213221010","4.7","55","3","0","1","2","49"
"Taptap Heroes","Role Playing","Ajoy Lab Games","https://play.google.com/store/apps/dev?id=8856613848700732378","4.3","625","76","2","24","63","460"
"Solo Superhero in Night City Battleground","Simulation","Pocket King Games","https://play.google.com/store/apps/developer?id=Pocket+King+Games","4.2","99","12","5","7","5","70"
"Wedding Fiasco - The Race for the Perfect Dress","Role Playing","TabTale","https://play.google.com/store/apps/dev?id=5735447750101420287","4.5","958","54","16","58","94","736"
"Wicked Jewels Crush 2018","Casual","Global Interactive","https://play.google.com/store/apps/developer?id=Global+Interactive","4.4","245","16","2","20","35","172"
"Super Hero Bike Mega Ramp","Racing","MTS Free Games","https://play.google.com/store/apps/developer?id=MTS+Free+Games","4.5","83","6","1","6","4","66"
"Car Stunt Challenge 2018","Simulation","Versatile Games Studio","https://play.google.com/store/apps/developer?id=Versatile+Games+Studio","4.5","160","11","2","9","13","125"
"The Cube","Arcade","VOODOO","https://play.google.com/store/apps/developer?id=VOODOO","4.0","7444","1347","243","422","717","4715"
"Real Swimming Pool Game 2018","Simulation","The Knights Inc.","https://play.google.com/store/apps/developer?id=The+Knights+Inc.","4.3","452","48","8","31","42","323"
"Miraculous Ladybug & Cat Noir - The Official Game","Action","Crazy Labs by TabTale","https://play.google.com/store/apps/developer?id=Crazy+Labs+by+TabTale","4.6","90541","4616","1316","3701","7514","73394"
"Tricky Stunt Bike Extreme Racer: Superhero","Simulation","Professor Games","https://play.google.com/store/apps/developer?id=Professor+Games","4.4","93","8","1","6","6","72"
"Panda Lu Baby Bear World - New Pet Care Adventure","Educational","TutoTOONS","https://play.google.com/store/apps/dev?id=6493980387780624296","4.5","298","22","6","17","16","237"
"Modern Bus Coach Driving Simulator 2k18","Simulation","Soft_Tech Gaming Studio","https://play.google.com/store/apps/developer?id=Soft_Tech+Gaming+Studio","3.4","158","47","10","17","8","76"
"Extreme Car Stunts Game 3D 2","Racing","Larrea Apps","https://play.google.com/store/apps/developer?id=Larrea+Apps","4.2","90","11","3","8","7","61"
"3D Train Racing Driver","Simulation","Train Games","https://play.google.com/store/apps/developer?id=Train+Games","4.2","95","12","3","4","7","69"
"Easy Bubble Shooter","Casual","Match 3 Bubble Games","https://play.google.com/store/apps/developer?id=Match+3+Bubble+Games","4.5","118","7","2","4","22","83"
"Superstar Makeup Prom","Role Playing","lemonbab","https://play.google.com/store/apps/developer?id=lemonbab","4.3","237","17","5","22","32","161"
"Stickman WW2 Battle Simulator","Action","Stickman 3D Fighting Games","https://play.google.com/store/apps/developer?id=Stickman+3D+Fighting+Games","4.4","1168","75","22","81","117","873"
"Truck Simulator","Simulation","gamestarstudio","https://play.google.com/store/apps/developer?id=gamestarstudio","4.4","168","11","7","11","12","127"
"Stellar Age: MMO Strategy","Strategy","Crazy Panda Apps","https://play.google.com/store/apps/developer?id=Crazy+Panda+Apps","4.4","10425","524","178","326","3011","6386"
"Target Bottle Shoot 3D","Simulation","Gaming Genesis","https://play.google.com/store/apps/developer?id=Gaming+Genesis","4.6","69","6","0","1","4","58"
"US Survival Death Mission: FPS War 2018","Action","PJ Solutions","https://play.google.com/store/apps/developer?id=PJ+Solutions","4.2","138","14","5","12","14","93"
"Fortress Bubbles","Adventure","Fun Match 3 Games","https://play.google.com/store/apps/dev?id=7101346334273770676","4.4","89","1","0","11","26","51"
"Mega Shooter: Infinity Space War (Galaxy Heroes)","Arcade","iKameStudio","https://play.google.com/store/apps/developer?id=iKameStudio","4.4","3928","258","75","225","454","2916"
"Bubble Shooter 3","Puzzle","Bubble Shooter Artworks","https://play.google.com/store/apps/developer?id=Bubble+Shooter+Artworks","4.4","85","5","2","7","14","57"
"The Gang City","Action","Grand Gangster Games","https://play.google.com/store/apps/developer?id=Grand+Gangster+Games","4.1","865","124","27","74","65","575"
"Castle Kingdom: Crush in Free","Strategy","OneSoft Studio","https://play.google.com/store/apps/dev?id=5015266578532322195","4.5","91","7","0","5","8","71"
"Slayer Bubbles","Adventure","Cookie Crush Games","https://play.google.com/store/apps/dev?id=7236897623184980796","4.4","107","6","0","11","20","70"
"Flip the Gun - Simulator Game","Arcade","Playgendary","https://play.google.com/store/apps/dev?id=7486814720100409246","4.3","152630","14723","2834","9527","17933","107613"
"Train Tracks Construction 2018","Simulation","Coding Squares","https://play.google.com/store/apps/dev?id=6609243090034600037","4.4","81","9","2","1","6","63"
"MMX Hill Dash 2 – Offroad Truck, Car & Bike Racing","Racing","Hutch Games","https://play.google.com/store/apps/dev?id=8812293306013257434","4.4","24274","1800","520","1390","3761","16803"
"Wood Block Puzzle 3D","Puzzle","TAP GAMES","https://play.google.com/store/apps/developer?id=TAP+GAMES","4.6","360","5","4","23","63","265"
"Solitaire - Klondike Solitaire","Card","UK Solitaire Card Games","https://play.google.com/store/apps/developer?id=UK+Solitaire+Card+Games","4.7","239","6","4","12","20","197"
"FPS Shooting Master","Action","Infinity Gunfighter","https://play.google.com/store/apps/developer?id=Infinity+Gunfighter","4.6","297","15","0","21","18","243"
"House Construction Simulator 3D","Simulation","BAYONET (Pvt) Ltd","https://play.google.com/store/apps/developer?id=BAYONET+%28Pvt%29+Ltd","4.4","120","7","1","13","12","87"
"Hitman Shooter","Arcade","Cookie Crush Games","https://play.google.com/store/apps/dev?id=7236897623184980796","4.6","94","1","1","7","17","68"
"Brain Physics Truck","Casual","ScorpionStudio","https://play.google.com/store/apps/developer?id=ScorpionStudio","3.5","595","171","16","59","37","312"
"Offroad Moto Bike Racing Games","Simulation","UniBit","https://play.google.com/store/apps/developer?id=UniBit","4.2","398","49","11","28","38","272"
"Stunt Car Racing Simulator: Free Car Games 2018","Simulation","Desire PK","https://play.google.com/store/apps/dev?id=4687045479860634476","4.3","175","20","7","6","14","128"
"Ultimate King Fighter: Death Match 2","Action","Action Adventure Gameplay Studios","https://play.google.com/store/apps/developer?id=Action+Adventure+Gameplay+Studios","4.4","47","5","1","0","6","35"
"High Speed Extreme  Bike Race Game: Space Heroes","Racing","Tiny Lab Games","https://play.google.com/store/apps/dev?id=5276432544756442683","4.4","45","3","2","1","5","34"
"Smash Bubbles","Casual","Match 3 Fun Games","https://play.google.com/store/apps/dev?id=6248802720099859869","4.5","58","1","1","6","11","39"
"Plippa games for girls","Casual","plippa","https://play.google.com/store/apps/developer?id=plippa","4.4","418","29","7","40","36","306"
"Cursed Castle Save the Princess","Casual","bmapps","https://play.google.com/store/apps/developer?id=bmapps","4.4","108","12","1","7","4","84"
"Ludo Players - Dice Board Game","Board","Topcha Apps","https://play.google.com/store/apps/developer?id=Topcha+Apps","4.3","33","2","1","3","5","22"
"Bottle Target Shoot","Adventure","Door to apps","https://play.google.com/store/apps/dev?id=4716605590557508920","4.3","126","13","2","10","7","94"
"Candy Break Bomb","Casual","Gamoper","https://play.google.com/store/apps/developer?id=Gamoper","4.6","435","8","5","22","71","329"
"Dinosaur Era : Survival Game","Simulation","MTS Free Games","https://play.google.com/store/apps/developer?id=MTS+Free+Games","4.3","22","2","0","2","4","14"
"Rake Monster Hunter","Simulation","OneTonGames","https://play.google.com/store/apps/dev?id=9176665870943617333","4.4","4191","254","71","285","519","3062"
"Jewels Quest 2 - Glowing Match 3","Puzzle","Teskin Games","https://play.google.com/store/apps/developer?id=Teskin+Games","4.6","29","0","1","3","2","23"
"Drop The Ball","Arcade","VOODOO","https://play.google.com/store/apps/developer?id=VOODOO","3.9","267","53","11","13","29","161"
"World Football Champion","Sports","Color Mobile, Inc.","https://play.google.com/store/apps/developer?id=Color+Mobile,+Inc.","4.6","1555","96","26","82","63","1288"
"Trick Tekken 3","Action","Endich","https://play.google.com/store/apps/developer?id=Endich","4.6","17","1","0","1","1","14"
"Super Car Racing 3D","Racing","BIG HUNTER","https://play.google.com/store/apps/developer?id=BIG+HUNTER","4.5","399","23","7","21","29","319"
"Stickman jailbreak 9","Casual","Starodymov games","https://play.google.com/store/apps/dev?id=7543058881021696216","4.4","1224","116","21","62","103","922"
"Forage Tractor Farming Drive","Simulation","HATCOM Inc.","https://play.google.com/store/apps/dev?id=6427388348363567691","4.3","353","41","6","17","21","268"
"Pokemon Pro Collection - Free G.B.A Classic Game","Adventure","plasne","https://play.google.com/store/apps/developer?id=plasne","4.5","832","51","6","42","70","663"
"Tricky Bike Racing With Crazy Rider 3D","Racing","Vasundhara Game Studios","https://play.google.com/store/apps/developer?id=Vasundhara+Game+Studios","4.4","70","7","0","3","7","53"
"City Ambulance Rescue Simulator Games","Simulation","Gamers Trend","https://play.google.com/store/apps/dev?id=8517959265305990625","4.6","24","2","0","0","2","20"
"Wings of Fire - Drone Fly  Fighter","Simulation","Standard Games Studios","https://play.google.com/store/apps/developer?id=Standard+Games+Studios","4.4","48","6","1","1","1","39"
"Airplane Flight Adventure: Games for Landing","Simulation","Step Up Game Studios","https://play.google.com/store/apps/dev?id=5286320531054919482","4.4","38","4","1","1","1","31"
"PAPER Anne","Adventure","UsFun Games","https://play.google.com/store/apps/developer?id=UsFun+Games","3.4","500","136","32","62","52","218"
"Elfcraft - Match and crush 3 Stones","Casual","Tivola","https://play.google.com/store/apps/dev?id=8927372468482477196","4.2","43","4","1","6","5","27"
"Moto Highway Rider","Racing","TerranDroid","https://play.google.com/store/apps/developer?id=TerranDroid","4.4","721","46","6","69","97","503"
"Tractor Driving in Farm – Extreme Transport Games","Simulation","Step Up Game Studios","https://play.google.com/store/apps/dev?id=5286320531054919482","4.4","84","7","2","3","7","65"
"Diner Match 3","Adventure","Free Bubble Shooter Games","https://play.google.com/store/apps/developer?id=Free+Bubble+Shooter+Games","4.5","43","1","0","6","6","30"
"Motorbike Stunt Master 2018","Simulation","Gameza Inc","https://play.google.com/store/apps/developer?id=Gameza+Inc","4.2","92","13","4","2","7","66"
"Airplane Hijack: Rescue Mission","Action","Standard Games Studios","https://play.google.com/store/apps/developer?id=Standard+Games+Studios","4.2","168","21","5","10","14","118"
"Bike Super Hero Stunt Driver Racing","Simulation","Best Fun Games Racing Simulators","https://play.google.com/store/apps/developer?id=Best+Fun+Games+Racing+Simulators","4.4","54","5","1","3","6","39"
"Forklift Games: Rear Wheels Forklift Driving","Simulation","Zact Studio Games","https://play.google.com/store/apps/dev?id=7326943805560551330","4.4","83","8","2","5","4","64"
"Fruit Pop Tap Cube","Casual","Global Interactive","https://play.google.com/store/apps/developer?id=Global+Interactive","4.4","192","9","5","17","21","140"
"Grand Street Vegas Mafia Crime : Fight To Survive","Action","Freydaso","https://play.google.com/store/apps/developer?id=Freydaso","4.4","912","88","16","54","81","673"
"❄ College Girls Princess Makeup Dress up Game ❤","Simulation","Dzen90","https://play.google.com/store/apps/developer?id=Dzen90","4.5","613","38","6","45","56","468"
"Super Car 3D Adventure Parking","Simulation","Scomz","https://play.google.com/store/apps/developer?id=Scomz","4.4","57","3","3","4","4","43"
"Luxury Prado: Offroad 4X4","Simulation","Abacus Gamers","https://play.google.com/store/apps/developer?id=Abacus+Gamers","4.5","35","3","0","0","6","26"
"Jigsaw Puzzles Free Game OFFLINE, Picture Puzzle","Puzzle","Cris Resh","https://play.google.com/store/apps/developer?id=Cris+Resh","4.4","615","51","10","35","57","462"
"Stickman Fight: The Game","Action","JDI Game Studio","https://play.google.com/store/apps/dev?id=5660622683758606290","4.5","5975","581","59","193","335","4807"
"Best Tekken 3 Trick","Action","Kamflo","https://play.google.com/store/apps/developer?id=Kamflo","4.1","29","5","0","2","1","21"
"Ludo Arena - Royal King","Board","Ciaolink Apps","https://play.google.com/store/apps/developer?id=Ciaolink+Apps","4.9","500","11","1","5","12","471"
"Village Road Construction Builder: Build Highway","Casual","Smile Stones Studio","https://play.google.com/store/apps/developer?id=Smile+Stones+Studio","4.4","29","3","0","2","2","22"
"Dinosaur Hunt 2018","Action","Best Free Games Ltd","https://play.google.com/store/apps/developer?id=Best+Free+Games+Ltd","4.5","89","6","1","4","10","68"
"Animal Hunting 2: Jeep Drive Simulator","Action","Logic Rack","https://play.google.com/store/apps/developer?id=Logic+Rack","4.0","45","7","3","1","6","28"
"Final Hunter: Wild Animal Hunting🐎","Action","shootergameball","https://play.google.com/store/apps/developer?id=shootergameball","4.5","579","35","11","25","49","459"
"Death Road 3 : Desperate Racing","Adventure","Love Free Shooting Games - FPS","https://play.google.com/store/apps/developer?id=Love+Free+Shooting+Games+-+FPS","4.1","573","67","22","54","52","378"
"Rajasthani Wedding - Indian Arranged Marriage","Casual","Increase Mind Games","https://play.google.com/store/apps/developer?id=Increase+Mind+Games","4.5","95","5","2","7","6","75"
"Air Force Jet Fighter Combat 3d","Action","Idle Vision","https://play.google.com/store/apps/developer?id=Idle+Vision","3.5","93","30","3","4","3","53"
"Fire Truck Driving Rescue 911 Fire Engine Games","Simulation","Roadster Inc - 3D Games Action & Simulation","https://play.google.com/store/apps/developer?id=Roadster+Inc+-+3D+Games+Action+%26+Simulation","4.2","35","6","1","0","0","28"
"Tricky bike new crazy stunt dead mission","Simulation","Swat Action Games","https://play.google.com/store/apps/developer?id=Swat+Action+Games","4.2","87","8","4","6","10","59"
"US Prisoner Police Bus: Bus Games","Simulation","Gamers Hive","https://play.google.com/store/apps/developer?id=Gamers+Hive","4.5","44","2","1","3","3","35"
"Dragon Warriors: Ball Z","Action","Table Blue","https://play.google.com/store/apps/developer?id=Table+Blue","4.5","2395","153","30","116","230","1866"
"Snake Crash 2: Snake Rush","Arcade","Poker Power","https://play.google.com/store/apps/developer?id=Poker+Power","4.2","546","68","13","34","51","380"
"Gorilla Smash City Big Foot Monster Rampage","Action","Machine Dreams Inc","https://play.google.com/store/apps/dev?id=8766811091380713707","4.2","47","6","3","1","3","34"
"Grand Monster Truck Simulator Drive","Simulation","Gamors","https://play.google.com/store/apps/developer?id=Gamors","4.3","188","16","3","19","28","122"
"Train Driving Simulator: Train Games 2018","Simulation","play.io","https://play.google.com/store/apps/developer?id=play.io","4.4","106","11","0","7","7","81"
"Telolet Bus Simulator 2018 - Top Coach Bus Driving","Simulation","Gaming Stars Inc","https://play.google.com/store/apps/developer?id=Gaming+Stars+Inc","4.0","22","3","1","3","2","13"
"Euro Truck Simulator vs USA Truck","Simulation","Trend Gaming Zone","https://play.google.com/store/apps/developer?id=Trend+Gaming+Zone","4.1","113","22","1","2","9","79"
"Water Slide Car Stunt Race","Simulation","Gamers Bell","https://play.google.com/store/apps/developer?id=Gamers+Bell","4.5","15","2","0","0","0","13"
"KBC 2018","Educational","Crorepati India : Biggest Hindi GK Quiz 2018","https://play.google.com/store/apps/developer?id=Crorepati+India+:+Biggest+Hindi+GK+Quiz+2018","4.4","56","5","4","0","3","44"
"Toys Pop","Puzzle","MadOverGames","https://play.google.com/store/apps/dev?id=7022253202210463993","4.8","989","9","1","43","111","825"
"Garden Farm Legend","Casual","Cosmo Game","https://play.google.com/store/apps/developer?id=Cosmo+Game","4.6","228","3","0","15","45","165"
"KBC in Hindi 2018 : India General Knowledge","Educational","Crorepati India : Biggest Hindi GK Quiz 2018","https://play.google.com/store/apps/developer?id=Crorepati+India+:+Biggest+Hindi+GK+Quiz+2018","4.9","30","0","0","1","2","27"
"My Dream Spa Beauty Salon : Hair Saloon","Casual","GameiMake","https://play.google.com/store/apps/developer?id=GameiMake","4.4","94","11","1","2","10","70"
"Superhero Fighting Games 3D - War of Infinity Gods","Action","Next Action Games","https://play.google.com/store/apps/developer?id=Next+Action+Games","4.5","86","6","1","4","6","69"
"Ludo (original) : Star 2017 : Ludo star king","Board","Whiteberry Apps","https://play.google.com/store/apps/developer?id=Whiteberry+Apps","3.6","458","145","5","21","23","264"
"US Police Parking: Car Games","Simulation","Gaming Globe Inc.","https://play.google.com/store/apps/dev?id=8310920612688764575","4.5","48","5","0","1","1","41"
"Modern Bus Simulator 3d: Bus Driving Games 2018","Simulation","Desire PK","https://play.google.com/store/apps/dev?id=4687045479860634476","4.1","52","8","1","4","5","34"
"Indian Train Oil Tanker Uphill Train Simulator","Simulation","Roadster Inc - 3D Games Action & Simulation","https://play.google.com/store/apps/developer?id=Roadster+Inc+-+3D+Games+Action+%26+Simulation","4.1","54","10","1","2","4","37"
"Highway City Traffic Racing Game","Simulation","Super Trending Games","https://play.google.com/store/apps/developer?id=Super+Trending+Games","4.3","87","6","2","10","14","55"
"Street Ice Cream Shop - Summer Beach Carnival","Educational","Family Kids Games","https://play.google.com/store/apps/developer?id=Family+Kids+Games","4.6","65","4","0","2","4","55"
"Mortal Superhero Kombat gods Ring Battle Arena","Action","Superhero Fighting Games","https://play.google.com/store/apps/developer?id=Superhero+Fighting+Games","4.4","79","6","1","9","4","59"
"Street Racing in Car Simulator 2018 - Car Racer","Simulation","Crazy Gaming Studio","https://play.google.com/store/apps/developer?id=Crazy+Gaming+Studio","4.7","61","0","2","5","5","49"
"Billionaire Dad Luxury Life Real Family Games","Adventure","New Age Gamers","https://play.google.com/store/apps/developer?id=New+Age+Gamers","4.0","114","21","1","8","6","78"
"Cooking Blast","Casual","Bubble Shooter Artworks","https://play.google.com/store/apps/developer?id=Bubble+Shooter+Artworks","4.6","37","1","0","5","2","29"
"Jungle Hill Racing","Casual","marble.lab","https://play.google.com/store/apps/developer?id=marble.lab","4.5","129","8","2","9","9","101"
"Train Driving Super Simulator","Simulation","Volcano Gaming Studio","https://play.google.com/store/apps/developer?id=Volcano+Gaming+Studio","4.6","44","3","1","0","4","36"
"Uphill Off Road Bus City Coach Bus Simulator 2018","Simulation","Haxinator","https://play.google.com/store/apps/developer?id=Haxinator","4.4","70","6","0","5","6","53"
"Sweet Baby Daily Fun Activities","Educational","DeduToons","https://play.google.com/store/apps/developer?id=DeduToons","4.4","56","5","1","1","10","39"
"Tricky Bike Stunt Master Crazy Stuntman Bike Rider","Simulation","Jhatka Gamers","https://play.google.com/store/apps/developer?id=Jhatka+Gamers","4.6","53","3","1","2","1","46"
"Racing Rocket : Parkour Rivals","Racing","Rooster Games","https://play.google.com/store/apps/dev?id=7301927668178768809","4.5","127","8","0","9","11","99"
"super Subway : Train Surf run fun 3D","Racing","Swift runner","https://play.google.com/store/apps/developer?id=Swift+runner","4.6","25","1","0","1","5","18"
"US Army Truck Simulator","Simulation","Tap - Free Games","https://play.google.com/store/apps/developer?id=Tap+-+Free+Games","4.5","38","2","0","3","4","29"
"Robot Dolphin Transform Submarine: Army Robot Game","Simulation","Warm Milk Productions","https://play.google.com/store/apps/developer?id=Warm+Milk+Productions","4.7","31","2","0","0","1","28"
"Offroad Bus Transport Simulator","Simulation","Racing Games Android","https://play.google.com/store/apps/developer?id=Racing+Games+Android","4.4","62","6","2","3","4","47"
"Modern Flying Car Limousine Taxi Simulator Games","Simulation","Great Games Studio","https://play.google.com/store/apps/developer?id=Great+Games+Studio","3.9","16","2","1","3","0","10"
"Barber Shop Hair Salon Beard Hair Cutting Games 2","Casual","Crazy Games Lab","https://play.google.com/store/apps/dev?id=7174351842942600674","3.5","248","73","8","18","19","130"
"Pokemoon fire red version - Free GBA Classic Game","Strategy","dragonalphadev","https://play.google.com/store/apps/developer?id=dragonalphadev","4.6","506","31","5","16","39","415"
"Fast Food Stand - Fried Food Cooking Game","Educational","Junior Games Studio","https://play.google.com/store/apps/developer?id=Junior+Games+Studio","4.2","85","9","2","10","2","62"
"Shoot Bubbles","Casual","Free Bubble Shooter Games","https://play.google.com/store/apps/developer?id=Free+Bubble+Shooter+Games","4.6","149","5","2","10","18","114"
"US Train Hijack Rescue Ops Simulator","Action","Gamy Interactive","https://play.google.com/store/apps/dev?id=6808269291574978393","4.4","42","4","1","2","1","34"
